period,source_period,period_role,horizon,strategy_id,strategy_group,strategy_label,rebalance,top_n,hold_days,llm_weight,llm_scope,traded_rebalance_count,position_count,total_return_pct,benchmark_return_pct,excess_return_pct,mdd_pct,sharpe,win_rate_pct,prediction_hit_rate_pct,status,result_json,center_multi_agent_strategy,center_total_return_pct,center_excess_return_pct,center_mdd_pct,return_delta_vs_center_multi_agent_pct,excess_delta_vs_center_multi_agent_pct,mdd_delta_vs_center_multi_agent_pct,beats_center_return,is_center_multi_agent
2023,validation_2023,validation,long,long_llm_only,multi_agent_llm_only,Long multi-agent LLM-only,M,3,60,1.0,broad,3,9,-9.94,31.08,-41.02,-8.11,-0.82,20.0,11.11,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs_2023_2024/runs/proof-ai-validation_2023-long_llm_only.json,long_hybrid_05,-0.42,-31.49,0.0,-9.52,-9.53,-8.11,False,False
2023,validation_2023,validation,long,deterministic_long,deterministic,Long deterministic baseline,M,3,60,0.0,,3,9,7.64,31.08,-23.43,-3.34,0.42,20.0,33.33,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs_2023_2024/runs/proof-ai-validation_2023-deterministic_long.json,long_hybrid_05,-0.42,-31.49,0.0,8.06,8.06,-3.34,True,False
2023,2023,technical_baseline,long,rsi_oversold,technical,RSI(14) <= 30,M,3,60,0.0,,0,0,0.0,31.08,-31.08,0.0,0.0,0.0,0.0,completed_no_trade,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2023-rsi_oversold-m-top3-h60.json,long_hybrid_05,-0.42,-31.49,0.0,0.42,0.41,0.0,True,False
2023,2023,technical_baseline,long,rsi_ranked,technical,"Lowest RSI(14), no threshold",M,3,60,0.0,,3,9,50.39,31.08,19.31,0.0,1.23,40.0,77.78,completed,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2023-rsi_ranked-m-top3-h60.json,long_hybrid_05,-0.42,-31.49,0.0,50.81,50.8,0.0,True,False
2023,2023,technical_baseline,long,bollinger_lower,technical,Close <= Bollinger lower band,M,3,60,0.0,,0,0,0.0,31.08,-31.08,0.0,0.0,0.0,0.0,completed_no_trade,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2023-bollinger_lower-m-top3-h60.json,long_hybrid_05,-0.42,-31.49,0.0,0.42,0.41,0.0,True,False
2023,2023,technical_baseline,long,bollinger_ranked,technical,"Lowest Bollinger %B, no threshold",M,3,60,0.0,,3,9,52.69,31.08,21.62,0.0,1.3,60.0,88.89,completed,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2023-bollinger_ranked-m-top3-h60.json,long_hybrid_05,-0.42,-31.49,0.0,53.11,53.11,0.0,True,False
2023,2023,technical_baseline,long,momentum_20d,technical,Highest 20-day momentum,M,3,60,0.0,,3,9,21.56,31.08,-9.52,0.0,0.76,40.0,33.33,completed,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2023-momentum_20d-m-top3-h60.json,long_hybrid_05,-0.42,-31.49,0.0,21.98,21.97,0.0,True,False
2023,2023,technical_baseline,long,vol_adjusted_momentum,technical,Volatility-adjusted momentum,M,3,60,0.0,,3,9,9.72,31.08,-21.35,-8.92,0.38,20.0,22.22,completed,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2023-vol_adjusted_momentum-m-top3-h60.json,long_hybrid_05,-0.42,-31.49,0.0,10.14,10.14,-8.92,True,False
2024,validation_2024,validation,short,short_hybrid_05,multi_agent_hybrid,Short multi-agent hybrid,W,3,5,0.5,broad,19,57,46.99,-16.38,63.37,-23.56,1.04,20.75,45.61,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs_2023_2024/runs/proof-ai-validation_2024-short_hybrid_05.json,short_hybrid_05,46.99,63.37,-23.56,0.0,0.0,0.0,False,True
2024,validation_2024,validation,short,short_llm_only,multi_agent_llm_only,Short multi-agent LLM-only,W,3,5,1.0,broad,19,57,64.11,-16.38,80.48,-22.75,1.3,20.75,49.12,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs_2023_2024/runs/proof-ai-validation_2024-short_llm_only.json,short_hybrid_05,46.99,63.37,-23.56,17.12,17.11,0.81,True,False
2024,validation_2024,validation,short,deterministic_short,deterministic,Short deterministic baseline,W,3,5,0.0,,19,57,38.27,-16.38,54.65,-21.75,0.91,18.87,45.61,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs_2023_2024/runs/proof-ai-validation_2024-deterministic_short.json,short_hybrid_05,46.99,63.37,-23.56,-8.72,-8.72,1.81,False,False
2024,2024,technical_baseline,short,rsi_oversold,technical,RSI(14) <= 30,W,3,5,0.0,,37,111,-45.67,-16.38,-29.3,-53.8,-1.52,26.42,38.74,completed,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2024-rsi_oversold-w-top3-h5.json,short_hybrid_05,46.99,63.37,-23.56,-92.66,-92.67,-30.24,False,False
2024,2024,technical_baseline,short,rsi_ranked,technical,"Lowest RSI(14), no threshold",W,3,5,0.0,,53,159,-22.06,-16.38,-5.69,-68.2,-0.04,41.51,40.25,completed,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2024-rsi_ranked-w-top3-h5.json,short_hybrid_05,46.99,63.37,-23.56,-69.05,-69.06,-44.64,False,False
2024,2024,technical_baseline,short,bollinger_lower,technical,Close <= Bollinger lower band,W,3,5,0.0,,16,48,-34.88,-16.38,-18.5,-41.16,-1.95,9.43,35.42,completed,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2024-bollinger_lower-w-top3-h5.json,short_hybrid_05,46.99,63.37,-23.56,-81.87,-81.87,-17.6,False,False
2024,2024,technical_baseline,short,bollinger_ranked,technical,"Lowest Bollinger %B, no threshold",W,3,5,0.0,,53,159,167.72,-16.38,184.1,-72.51,1.24,41.51,38.99,completed,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2024-bollinger_ranked-w-top3-h5.json,short_hybrid_05,46.99,63.37,-23.56,120.73,120.73,-48.95,True,False
2024,2024,technical_baseline,short,momentum_20d,technical,Highest 20-day momentum,W,3,5,0.0,,53,159,6.97,-16.38,23.35,-45.73,0.38,47.17,47.8,completed,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2024-momentum_20d-w-top3-h5.json,short_hybrid_05,46.99,63.37,-23.56,-40.02,-40.02,-22.17,False,False
2024,2024,technical_baseline,short,vol_adjusted_momentum,technical,Volatility-adjusted momentum,W,3,5,0.0,,53,159,24.09,-16.38,40.47,-38.21,0.66,52.83,47.8,completed,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2024-vol_adjusted_momentum-w-top3-h5.json,short_hybrid_05,46.99,63.37,-23.56,-22.9,-22.9,-14.65,False,False
2024,validation_2024,validation,long,long_hybrid_05,multi_agent_hybrid,Long multi-agent hybrid,M,3,60,0.5,broad,4,12,0.08,-40.32,40.4,-22.03,0.08,16.67,33.33,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs_2023_2024/runs/proof-ai-validation_2024-long_hybrid_05.json,long_hybrid_05,0.08,40.4,-22.03,0.0,0.0,0.0,False,True
2024,validation_2024,validation,long,long_llm_only,multi_agent_llm_only,Long multi-agent LLM-only,M,3,60,1.0,broad,4,12,-12.33,-40.32,27.98,-27.54,-0.19,8.33,33.33,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs_2023_2024/runs/proof-ai-validation_2024-long_llm_only.json,long_hybrid_05,0.08,40.4,-22.03,-12.41,-12.42,-5.51,False,False
2024,validation_2024,validation,long,deterministic_long,deterministic,Long deterministic baseline,M,3,60,0.0,,4,12,16.78,-40.32,57.1,-9.97,0.43,16.67,41.67,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs_2023_2024/runs/proof-ai-validation_2024-deterministic_long.json,long_hybrid_05,0.08,40.4,-22.03,16.7,16.7,12.06,True,False
2024,2024,technical_baseline,long,rsi_oversold,technical,RSI(14) <= 30,M,3,60,0.0,,1,3,1.06,-40.32,41.38,0.0,0.59,8.33,33.33,completed,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2024-rsi_oversold-m-top3-h60.json,long_hybrid_05,0.08,40.4,-22.03,0.98,0.98,22.03,True,False
2024,2024,technical_baseline,long,rsi_ranked,technical,"Lowest RSI(14), no threshold",M,3,60,0.0,,4,12,-14.31,-40.32,26.01,-15.23,-0.8,16.67,25.0,completed,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2024-rsi_ranked-m-top3-h60.json,long_hybrid_05,0.08,40.4,-22.03,-14.39,-14.39,6.8,False,False
2024,2024,technical_baseline,long,bollinger_lower,technical,Close <= Bollinger lower band,M,3,60,0.0,,3,9,7.11,-40.32,47.43,-17.27,0.2,8.33,33.33,completed,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2024-bollinger_lower-m-top3-h60.json,long_hybrid_05,0.08,40.4,-22.03,7.03,7.03,4.76,True,False
2024,2024,technical_baseline,long,bollinger_ranked,technical,"Lowest Bollinger %B, no threshold",M,3,60,0.0,,4,12,-5.34,-40.32,34.97,-26.89,-0.0,8.33,25.0,completed,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2024-bollinger_ranked-m-top3-h60.json,long_hybrid_05,0.08,40.4,-22.03,-5.42,-5.43,-4.86,False,False
2024,2024,technical_baseline,long,momentum_20d,technical,Highest 20-day momentum,M,3,60,0.0,,4,12,14.81,-40.32,55.12,-3.87,0.64,16.67,58.33,completed,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2024-momentum_20d-m-top3-h60.json,long_hybrid_05,0.08,40.4,-22.03,14.73,14.72,18.16,True,False
2024,2024,technical_baseline,long,vol_adjusted_momentum,technical,Volatility-adjusted momentum,M,3,60,0.0,,4,12,16.02,-40.32,56.33,-2.86,0.7,16.67,58.33,completed,experiment_results/backtesting/ai_strategy_comparison/technical_long_runs_2023_2024/bt-ai-2024-vol_adjusted_momentum-m-top3-h60.json,long_hybrid_05,0.08,40.4,-22.03,15.94,15.93,19.17,True,False
2025,tune_2025,tuning_reference,short,short_hybrid_05,multi_agent_hybrid,Short multi-agent hybrid,W,3,5,0.5,broad,48,144,190.16,85.25,104.9,-34.44,2.04,52.83,50.69,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs/runs/proof-ai-tune_2025-short_hybrid_05.json,short_hybrid_05,190.16,104.9,-34.44,0.0,0.0,0.0,False,True
2025,tune_2025,tuning_reference,short,short_llm_only,multi_agent_llm_only,Short multi-agent LLM-only,W,3,5,1.0,broad,48,144,153.45,85.25,68.2,-31.83,1.87,54.72,50.0,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs/runs/proof-ai-tune_2025-short_llm_only.json,short_hybrid_05,190.16,104.9,-34.44,-36.71,-36.7,2.61,False,False
2025,tune_2025,tuning_reference,short,deterministic_short,deterministic,Short deterministic baseline,W,3,5,0.0,,48,144,216.92,85.25,131.67,-26.35,2.31,52.83,50.69,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs/runs/proof-ai-tune_2025-deterministic_short.json,short_hybrid_05,190.16,104.9,-34.44,26.76,26.77,8.09,True,False
2025,tune_2025,technical_baseline,short,rsi_oversold,technical,RSI(14) <= 30,W,3,5,0.0,,19,57,16.22,85.25,-69.03,-12.54,0.78,16.98,52.63,completed,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_short/bt-ai-tune_2025-rsi_oversold-w-top3-h5.json,short_hybrid_05,190.16,104.9,-34.44,-173.94,-173.93,21.9,False,False
2025,tune_2025,technical_baseline,short,rsi_ranked,technical,"Lowest RSI(14), no threshold",W,3,5,0.0,,48,144,15.39,85.25,-69.86,-34.27,0.56,39.62,47.22,completed,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_short/bt-ai-tune_2025-rsi_ranked-w-top3-h5.json,short_hybrid_05,190.16,104.9,-34.44,-174.77,-174.76,0.17,False,False
2025,tune_2025,technical_baseline,short,bollinger_lower,technical,Close <= Bollinger lower band,W,3,5,0.0,,10,30,10.78,85.25,-74.47,-9.95,0.6,11.32,53.33,completed,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_short/bt-ai-tune_2025-bollinger_lower-w-top3-h5.json,short_hybrid_05,190.16,104.9,-34.44,-179.38,-179.37,24.49,False,False
2025,tune_2025,technical_baseline,short,bollinger_ranked,technical,"Lowest Bollinger %B, no threshold",W,3,5,0.0,,48,144,49.81,85.25,-35.44,-22.37,1.07,45.28,47.92,completed,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_short/bt-ai-tune_2025-bollinger_ranked-w-top3-h5.json,short_hybrid_05,190.16,104.9,-34.44,-140.35,-140.34,12.07,False,False
2025,2025,technical_baseline,short,momentum_20d,technical,Highest 20-day momentum,W,3,5,0.0,,53,159,60.08,66.79,-6.71,-35.98,1.18,58.49,52.83,completed,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2025-momentum_20d-w-top3-h5.json,short_hybrid_05,190.16,104.9,-34.44,-130.08,-111.61,-1.54,False,False
2025,2025,technical_baseline,short,vol_adjusted_momentum,technical,Volatility-adjusted momentum,W,3,5,0.0,,53,159,34.96,66.79,-31.83,-40.18,0.89,49.06,52.83,completed,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2025-vol_adjusted_momentum-w-top3-h5.json,short_hybrid_05,190.16,104.9,-34.44,-155.2,-136.73,-5.74,False,False
2025,tune_2025,tuning_reference,long,long_hybrid_05,multi_agent_hybrid,Long multi-agent hybrid,M,3,60,0.5,broad,11,33,103.29,110.38,-7.1,-14.07,0.76,50.0,54.55,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs/runs/proof-ai-tune_2025-long_hybrid_05.json,long_hybrid_05,103.29,-7.1,-14.07,0.0,0.0,0.0,False,True
2025,tune_2025,tuning_reference,long,long_llm_only,multi_agent_llm_only,Long multi-agent LLM-only,M,3,60,1.0,broad,11,33,71.22,110.38,-39.16,-13.01,0.63,41.67,45.45,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs/runs/proof-ai-tune_2025-long_llm_only.json,long_hybrid_05,103.29,-7.1,-14.07,-32.07,-32.06,1.06,False,False
2025,tune_2025,tuning_reference,long,deterministic_long,deterministic,Long deterministic baseline,M,3,60,0.0,,11,33,82.78,110.38,-27.6,-8.42,0.96,50.0,48.48,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs/runs/proof-ai-tune_2025-deterministic_long.json,long_hybrid_05,103.29,-7.1,-14.07,-20.51,-20.5,5.65,False,False
2025,tune_2025,technical_baseline,long,rsi_oversold,technical,RSI(14) <= 30,M,3,60,0.0,,6,18,33.34,110.38,-77.04,-7.52,0.65,25.0,61.11,completed,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_long/bt-ai-tune_2025-rsi_oversold-m-top3-h60.json,long_hybrid_05,103.29,-7.1,-14.07,-69.95,-69.94,6.55,False,False
2025,tune_2025,technical_baseline,long,rsi_ranked,technical,"Lowest RSI(14), no threshold",M,3,60,0.0,,11,33,94.71,110.38,-15.68,-22.23,0.96,50.0,57.58,completed,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_long/bt-ai-tune_2025-rsi_ranked-m-top3-h60.json,long_hybrid_05,103.29,-7.1,-14.07,-8.58,-8.58,-8.16,False,False
2025,tune_2025,technical_baseline,long,bollinger_lower,technical,Close <= Bollinger lower band,M,3,60,0.0,,1,3,-6.53,110.38,-116.91,-6.53,-0.59,0.0,0.0,completed,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_long/bt-ai-tune_2025-bollinger_lower-m-top3-h60.json,long_hybrid_05,103.29,-7.1,-14.07,-109.82,-109.81,7.54,False,False
2025,tune_2025,technical_baseline,long,bollinger_ranked,technical,"Lowest Bollinger %B, no threshold",M,3,60,0.0,,11,33,92.68,110.38,-17.7,-10.51,1.12,66.67,63.64,completed,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_long/bt-ai-tune_2025-bollinger_ranked-m-top3-h60.json,long_hybrid_05,103.29,-7.1,-14.07,-10.61,-10.6,3.56,False,False
2026Q1,validation_2026q1,validation,short,short_hybrid_05,multi_agent_hybrid,Short multi-agent hybrid,W,3,5,0.5,broad,14,42,15.4,-3.38,18.79,-30.59,0.98,50.0,45.24,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs/runs/proof-ai-validation_2026q1-short_hybrid_05.json,short_hybrid_05,15.4,18.79,-30.59,0.0,0.0,0.0,False,True
2026Q1,validation_2026q1,validation,short,short_llm_only,multi_agent_llm_only,Short multi-agent LLM-only,W,3,5,1.0,broad,14,42,18.37,-3.38,21.75,-27.77,1.07,50.0,47.62,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs/runs/proof-ai-validation_2026q1-short_llm_only.json,short_hybrid_05,15.4,18.79,-30.59,2.97,2.96,2.82,True,False
2026Q1,validation_2026q1,validation,short,deterministic_short,deterministic,Short deterministic baseline,W,3,5,0.0,,14,42,24.62,-3.38,28.01,-21.27,1.54,57.14,52.38,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs/runs/proof-ai-validation_2026q1-deterministic_short.json,short_hybrid_05,15.4,18.79,-30.59,9.22,9.22,9.32,True,False
2026Q1,validation_2026q1,technical_baseline,short,rsi_oversold,technical,RSI(14) <= 30,W,3,5,0.0,,9,27,8.55,-3.38,11.93,-15.59,0.9,35.71,55.56,completed,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_short/bt-ai-validation_2026q1-rsi_oversold-w-top3-h5.json,short_hybrid_05,15.4,18.79,-30.59,-6.85,-6.86,15.0,False,False
2026Q1,validation_2026q1,technical_baseline,short,rsi_ranked,technical,"Lowest RSI(14), no threshold",W,3,5,0.0,,14,42,-18.18,-3.38,-14.8,-31.93,-1.23,35.71,40.48,completed,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_short/bt-ai-validation_2026q1-rsi_ranked-w-top3-h5.json,short_hybrid_05,15.4,18.79,-30.59,-33.58,-33.59,-1.34,False,False
2026Q1,validation_2026q1,technical_baseline,short,bollinger_lower,technical,Close <= Bollinger lower band,W,3,5,0.0,,4,12,4.42,-3.38,7.8,-5.3,0.87,21.43,66.67,completed,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_short/bt-ai-validation_2026q1-bollinger_lower-w-top3-h5.json,short_hybrid_05,15.4,18.79,-30.59,-10.98,-10.99,25.29,False,False
2026Q1,validation_2026q1,technical_baseline,short,bollinger_ranked,technical,"Lowest Bollinger %B, no threshold",W,3,5,0.0,,14,42,-16.98,-3.38,-13.59,-31.54,-1.05,42.86,38.1,completed,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_short/bt-ai-validation_2026q1-bollinger_ranked-w-top3-h5.json,short_hybrid_05,15.4,18.79,-30.59,-32.38,-32.38,-0.95,False,False
2026Q1,2026q1,technical_baseline,short,momentum_20d,technical,Highest 20-day momentum,W,3,5,0.0,,14,42,-10.57,-6.07,-4.51,-35.34,-0.23,42.86,42.86,completed,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2026q1-momentum_20d-w-top3-h5.json,short_hybrid_05,15.4,18.79,-30.59,-25.97,-23.3,-4.75,False,False
2026Q1,2026q1,technical_baseline,short,vol_adjusted_momentum,technical,Volatility-adjusted momentum,W,3,5,0.0,,14,42,-8.04,-6.07,-1.98,-32.88,-0.09,42.86,45.24,completed,experiment_results/backtesting/ai_strategy_comparison/technical_baseline_runs_2023_2026q1/bt-ai-2026q1-vol_adjusted_momentum-w-top3-h5.json,short_hybrid_05,15.4,18.79,-30.59,-23.44,-20.77,-2.29,False,False
2026Q1,validation_2026q1,validation,long,long_hybrid_05,multi_agent_hybrid,Long multi-agent hybrid,M,3,60,0.5,broad,1,3,14.2,-1.94,16.14,0.0,0.0,100.0,66.67,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs/runs/proof-ai-validation_2026q1-long_hybrid_05.json,long_hybrid_05,14.2,16.14,0.0,0.0,0.0,0.0,False,True
2026Q1,validation_2026q1,validation,long,long_llm_only,multi_agent_llm_only,Long multi-agent LLM-only,M,3,60,1.0,broad,1,3,14.2,-1.94,16.14,0.0,0.0,100.0,66.67,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs/runs/proof-ai-validation_2026q1-long_llm_only.json,long_hybrid_05,14.2,16.14,0.0,0.0,0.0,0.0,False,False
2026Q1,validation_2026q1,validation,long,deterministic_long,deterministic,Long deterministic baseline,M,3,60,0.0,,1,3,6.14,-1.94,8.08,0.0,0.0,100.0,33.33,completed,experiment_results/backtesting/ai_strategy_comparison/source_multi_agent_runs/runs/proof-ai-validation_2026q1-deterministic_long.json,long_hybrid_05,14.2,16.14,0.0,-8.06,-8.06,0.0,False,False
2026Q1,validation_2026q1,technical_baseline,long,rsi_oversold,technical,RSI(14) <= 30,M,3,60,0.0,,0,0,0.0,-1.94,1.94,0.0,0.0,0.0,0.0,completed_no_trade,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_long/bt-ai-validation_2026q1-rsi_oversold-m-top3-h60.json,long_hybrid_05,14.2,16.14,0.0,-14.2,-14.2,0.0,False,False
2026Q1,validation_2026q1,technical_baseline,long,rsi_ranked,technical,"Lowest RSI(14), no threshold",M,3,60,0.0,,1,3,-10.13,-1.94,-8.19,0.0,0.0,0.0,0.0,completed,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_long/bt-ai-validation_2026q1-rsi_ranked-m-top3-h60.json,long_hybrid_05,14.2,16.14,0.0,-24.33,-24.33,0.0,False,False
2026Q1,validation_2026q1,technical_baseline,long,bollinger_lower,technical,Close <= Bollinger lower band,M,3,60,0.0,,0,0,0.0,-1.94,1.94,0.0,0.0,0.0,0.0,completed_no_trade,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_long/bt-ai-validation_2026q1-bollinger_lower-m-top3-h60.json,long_hybrid_05,14.2,16.14,0.0,-14.2,-14.2,0.0,False,False
2026Q1,validation_2026q1,technical_baseline,long,bollinger_ranked,technical,"Lowest Bollinger %B, no threshold",M,3,60,0.0,,1,3,-8.58,-1.94,-6.64,0.0,0.0,0.0,0.0,completed,experiment_results/backtesting/ai_strategy_comparison/source_comparison_build/technical_long/bt-ai-validation_2026q1-bollinger_ranked-m-top3-h60.json,long_hybrid_05,14.2,16.14,0.0,-22.78,-22.78,0.0,False,False
